route_id,vehicle_string,garage_code,pvr
251,BZL (sd)/MCV,EW,13
252,E40D/Enviro400,RM,13
253,New Bus for London,CT,19
254,New Bus for London,SF,23
255,Kite Electroliner 10.3m,TH,9
256,E40D/Enviro400,RM,11
257,Streetdeck Electroliner 10.5m,T,16
258,B9TL/Gemini 2,HD,12
259,New Bus for London,AR,16
26,E40H/Enviro400H City,HK,20
260,B5LH/Gemini 3,AC,17
261,E40D/Enviro400,TB,14
262,DD/Enviro400EV City,RR,10
263,B5LH/Gemini 2,PB,20
264,DD/Enviro400EV City,C,11
265,D8UR/Enviro200MMC EV,AF,12
266,Streetdeck Electroliner 10.5m,W,23
267,New Bus for London,TF,17
268,Kite Electroliner 10.3m,W,6
269,Streetdeck Electroliner 10.5m,BX,13
27,New Bus for London,QB,17
270,Streetdeck Electroliner 10.5m,BC,15
272,E20D/Enviro200 MMC,V,10
273,E20D/Enviro200 MMC,TL,9
274,B5LH/EvoSeti,HT,12
275,E40D/Enviro400,T,13
276,BZL (sd)/MCV,HO,17
277,Streetdeck Electroliner 10.5m,HK,15
278,E40D/Enviro400H MMC,DH,12
279,Streetdeck Electroliner 10.5m,E,29
28,B9TL/Gemini 2,WJ,19
280,B5LH/Gemini 2,GM,14
281,DD/Enviro400EV City,FW,21
282,E40H/Enviro400H,G,17
284,E20D/Enviro200 MMC,KB,13
285,E40D/Enviro400 MMC,TF,16
286,Streetlite DF 10.8m,MG,14
287,Streetdeck Electroliner 10.5m,RM,8
288,E20D/Enviro200 MMC,BT,7
289,Trident/Enviro400,TH,15
29,B5LH/Eclipse Gemini,WN,31
290,D8UR/Enviro200MMC EV,FW,8
291,E40D/Enviro400,MG,7
292,DD/Enviro400EV City,UB,3
293,E20D/Enviro200 MMC,TV,6
294,E40D/Enviro400 MMC,NS,12
295,DD/Enviro400EV City,X,19
296,E200Dart/Enviro200,NS,8
297,B9TL/Gemini 2,PV,17
298,E40D/Enviro400,UB,5
299,E20D/Enviro200,NP,8
3,New Bus for London,TK,15
30,B5LH/EvoSeti,KC,15
300,E200Dart/Enviro200,SI,10
301,B5LH/Gemini 2,DT,10
302,B5LH/Gemini 3,AC,16
303,E20D/Enviro200 MMC,BT,8
304,E40D/Enviro400,RR,10
306,Streetdeck Electroliner 10.5m,QB,10
307,Streetdeck Electroliner 10.5m,E,15
308,B5LH/EvoSeti,HO,14
309,E20D/Enviro200 MMC,HK,8
31,E40H/Enviro400H,X,17
310,E20D/Enviro200,HK,8
312,E200Dart/Enviro200,TC,12
313,New Bus for London,E,8
314,BZL (sd)/MCV,TB,16
315,E20D/Enviro200,BC,6
316,BZL (sd)/MCV,WJ,18
317,Streetdeck Electroliner 10.5m,PB,5
318,E20D/Enviro200,NP,9
319,DD/Enviro400EV City,BN,19
32,New Bus for London,W,18
320,BYD B11E02 10.9m,MB,13
321,BYD B11E02 10.9m,NX,16
322,E100EV/Enviro100EV 8.5m,SM,11
323,E200Dart/Enviro200,WH,4
324,E200Dart/Enviro200,W,7
325,D8UR/Enviro200MMC EV,RR,12
326,E200Dart/Enviro200,BT,15
327,E20D/Enviro200,PB,1
328,B5LH/Gemini 2,W,19
329,Trident/Enviro400,WN,14
33,Kite Electroliner 10.9m,FW,18
330,Trident/Enviro400,DS,10
331,E20D/Enviro200,UX,8
333,B5LH/EvoSeti,SW,15
335,B5LH/Gemini 2,DT,7
336,E20D/Enviro200 MMC,TB,11
337,Streetdeck Electroliner 10.5m,QB,11
339,Metrocity EV 9.6m,HO,11
34,B5LH/Gemini 3,AD,19
340,B5LH/Gemini 3,BT,9
341,Streetdeck Electroliner 10.5m,AR,19
343,E40H/Enviro400H MMC,NX,21
344,E40H/Enviro400H MMC,QB,21
345,E40H/Enviro400H,QB,24
346,E20D/Enviro200,RM,6
349,New Bus for London,AR,13
35,E40H/Enviro400H MMC,Q,24
350,E20D/Enviro200 MMC,DH,6
352,Streetlite WF 8.8m,SM,6
353,DD/Enviro400EV City,MB,8
354,E20D/Enviro200,SM,5
355,Kite Electroliner 10.9m,Q,13
356,E20D/Enviro200 MMC,KB,8
357,DD/Enviro400EV,NP,7
358,ie-Tram 12m,MB,17
359,D8UR/Enviro200MMC EV,C,2
36,E40D/Enviro400,NX,29
360,Kite Electroliner 10.9m,Q,11
362,E20D/Enviro200 MMC,BK,3
363,E40H/Enviro400H MMC,WL,7
364,E20D/Enviro200 MMC,RR,14
365,Trident/Enviro400,NS,12
366,D8UR/Enviro200MMC EV,RR,18
367,E20D/Enviro200 MMC,BC,10
368,B5LH/Gemini 2,RR,8
37,E40H/Enviro400H MMC,PM,19
370,B5LH/Gemini 3,GY,13
371,D8UR/Enviro200MMC EV,FW,11
372,E40D/Enviro400 MMC,RM,8
375,E200Dart/Enviro200,GY,1
376,D8UR/Enviro200MMC EV,DS,10
377,Metrocity EV 9.6m,E,3
378,E20D/Enviro200 MMC,SW,4
379,Metrocity EV 8.7m,AW,3
38,New Bus for London,CT,36
380,E20D/Enviro200 MMC,PD,14
381,DD/Enviro400EV City,WL,17
382,E20D/Enviro200,PB,9
383,E20D/Enviro200,UB,3
384,BZL (sd)/MCV,PB,9
385,E200Dart/Enviro200,AW,1
386,E200Dart/Enviro200,MG,10
388,E40H/Enviro400H City,HK,11
389,E20D/Enviro200,NP,0
39,D8UR/Enviro200MMC EV,AF,14
390,New Bus for London,HT,17
393,E20D/Enviro200 MMC,HT,14
394,E20D/Enviro200 MMC,HK,9
395,E20D/Enviro200 MMC,SO,5
396,D8UR/Enviro200MMC EV,RR,4
397,E20D/Enviro200 MMC,AW,6
398,D8UR/Enviro200MMC EV,SO,4
399,E20D/Enviro200,NP,0
4,B5LH/EvoSeti,HT,17
40,DD/Enviro400EV City,Q,16
401,Trident/Enviro400,BX,8
403,E40D/Enviro400,C,8
404,E20D/Enviro200 MMC,BC,3
405,BYD B11E02 10.9m,TC,10
406,B5LH/Gemini 3,TV,7
407,E40H/Enviro400H,BC,16
41,DB300/Gemini 2,AR,19
410,E20D/Enviro200,N,11
411,E20D/Enviro200 MMC,TV,5
412,BYD B11E02 10.9m,TC,7
413,D8UR/Enviro200MMC EV,AL,8
415,New Bus for London,QB,9
417,Streetdeck Electroliner 10.5m,BN,12
418,E40D/Enviro400,TV,7
419,E200Dart/Enviro200,AV,13
42,E40H/Enviro400H MMC,Q,10
422,Trident/Enviro400,PD,17
423,B5LH/Gemini 3,WK,7
424,Streetlite WF 8.8m,SW,5
425,E40H/Enviro400H MMC,BW,21
427,E40H/Enviro400H MMC,GW,17
