registration,operator_slug,fleet_no,last_route,vehicle_type
LX12DAU,stagecoach-london,10101,650,ADL Enviro400
LX12DBO,stagecoach-london,10102,365,ADL Enviro400
LX12DBU,stagecoach-london,10103,D6,ADL Enviro400
LX12DBV,stagecoach-london,10104,241,ADL Enviro400
LX12DBY,stagecoach-london,10105,649,ADL Enviro400
LX12DBZ,stagecoach-london,10106,650,ADL Enviro400
LX12DCE,stagecoach-london,10107,496,ADL Enviro400
LX12DCF,stagecoach-london,10108,650,ADL Enviro400
LX12DCO,stagecoach-london,10109,372,ADL Enviro400
LX12DCU,stagecoach-london,10110,256,ADL Enviro400
LX12DCV,stagecoach-london,10111,256,ADL Enviro400
LX12DCY,stagecoach-london,10112,256,ADL Enviro400
LX12DCZ,stagecoach-london,10113,122,ADL Enviro400
LX12DDA,stagecoach-london,10114,161,ADL Enviro400
LX12DDE,stagecoach-london,10115,422,ADL Enviro400
LX12DDF,stagecoach-london,10116,241,ADL Enviro400
LX12DDJ,stagecoach-london,10117,275,ADL Enviro400
LX12DDK,stagecoach-london,10118,215,ADL Enviro400
LX12DDL,stagecoach-london,10119,275,ADL Enviro400
LX12DDN,stagecoach-london,10120,275,ADL Enviro400
LX12DDO,stagecoach-london,10121,275,ADL Enviro400
LX12DDU,stagecoach-london,10122,275,ADL Enviro400
LX12DDV,stagecoach-london,10123,275,ADL Enviro400
LX12DDY,stagecoach-london,10124,128,ADL Enviro400
LX12DDZ,stagecoach-london,10125,128,ADL Enviro400
LX12DFA,stagecoach-london,10127,128,ADL Enviro400
LX12DFC,stagecoach-london,10128,128,ADL Enviro400
LX12DFD,stagecoach-london,10129,294,ADL Enviro400
LX12DFE,stagecoach-london,10130,128,ADL Enviro400
LX12DFF,stagecoach-london,10131,128,ADL Enviro400
LX12DFG,stagecoach-london,10132,128,ADL Enviro400
LX12DFJ,stagecoach-london,10133,422,ADL Enviro400
LX12DFK,stagecoach-london,10134,128,ADL Enviro400
LX12DFL,stagecoach-london,10135,294,ADL Enviro400
LX12DFN,stagecoach-london,10136,128,ADL Enviro400
LX12DFO,stagecoach-london,10137,496,ADL Enviro400
LX12DFP,stagecoach-london,10138,128,ADL Enviro400
LX12DFU,stagecoach-london,10139,128,ADL Enviro400
LX12DFV,stagecoach-london,10140,128,ADL Enviro400
LX12DFY,stagecoach-london,10141,128,ADL Enviro400
LX12DFZ,stagecoach-london,10142,128,ADL Enviro400
LX12DGE,stagecoach-london,10143,128,ADL Enviro400
LX12DGF,stagecoach-london,10144,294,ADL Enviro400
LX12DGO,stagecoach-london,10145,496,ADL Enviro400
LX12DGU,stagecoach-london,10146,651,ADL Enviro400
LX12DGV,stagecoach-london,10147,252,ADL Enviro400
LX12DGY,stagecoach-london,10148,241,ADL Enviro400
LX12DGZ,stagecoach-london,10149,667,ADL Enviro400
LX12DHA,stagecoach-london,10150,496,ADL Enviro400
LX12DHC,stagecoach-london,10151,650,ADL Enviro400
LX12DHD,stagecoach-london,10152,496,ADL Enviro400
LX12DHE,stagecoach-london,10153,667,ADL Enviro400
LX12DHF,stagecoach-london,10154,649,ADL Enviro400
EU62AXT,stagecoach-london,10155,275,ADL Enviro400
EU62AXV,stagecoach-london,10156,54,ADL Enviro400
EU62AYB,stagecoach-london,10157,54,ADL Enviro400
EU62AYE,stagecoach-london,10158,61,ADL Enviro400
EU62AZA,stagecoach-london,10159,61,ADL Enviro400
EU62AZO,stagecoach-london,10160,61,ADL Enviro400
EU62AAE,stagecoach-london,10161,61,ADL Enviro400
EU62AAO,stagecoach-london,10162,61,ADL Enviro400
EU62ADZ,stagecoach-london,10163,638,ADL Enviro400
SN63JVM,stagecoach-london,10164,177,ADL Enviro400
SN63JVO,stagecoach-london,10165,499,ADL Enviro400
SN63JVP,stagecoach-london,10166,252,ADL Enviro400
SN63JVR,stagecoach-london,10167,365,ADL Enviro400
SN63JVT,stagecoach-london,10168,252,ADL Enviro400
SN63JVU,stagecoach-london,10169,252,ADL Enviro400
SN63JVV,stagecoach-london,10170,256,ADL Enviro400
SN63JVW,stagecoach-london,10171,499,ADL Enviro400
SN63JVX,stagecoach-london,10172,365,ADL Enviro400
SN63JVY,stagecoach-london,10173,499,ADL Enviro400
SN63JWA,stagecoach-london,10175,122,ADL Enviro400
SN63JWC,stagecoach-london,10176,422,ADL Enviro400
SN63JWD,stagecoach-london,10177,122,ADL Enviro400
SN63JWE,stagecoach-london,10178,161,ADL Enviro400
SN63JWF,stagecoach-london,10179,177,ADL Enviro400
SN63JWG,stagecoach-london,10180,122,ADL Enviro400
SN63JWJ,stagecoach-london,10181,422,ADL Enviro400
SN63JWK,stagecoach-london,10182,122,ADL Enviro400
SN63JWL,stagecoach-london,10183,177,ADL Enviro400
SN63NBD,stagecoach-london,10184,122,ADL Enviro400
SN63NBE,stagecoach-london,10185,122,ADL Enviro400
SN63NBF,stagecoach-london,10186,177,ADL Enviro400
SN63NBG,stagecoach-london,10187,161,ADL Enviro400
SN63NBJ,stagecoach-london,10188,122,ADL Enviro400
SN63NBK,stagecoach-london,10189,122,ADL Enviro400
SN63NBL,stagecoach-london,10190,422,ADL Enviro400
SN63NBM,stagecoach-london,10191,422,ADL Enviro400
SN63NBO,stagecoach-london,10192,161,ADL Enviro400
SN63NBX,stagecoach-london,10193,180,ADL Enviro400
SN63NBY,stagecoach-london,10194,177,ADL Enviro400
SN63NBZ,stagecoach-london,10195,122,ADL Enviro400
SL14DDE,stagecoach-london,10197,61,ADL Enviro400
SL64HYX,stagecoach-london,10198,638,ADL Enviro400
YY15OYS,stagecoach-london,10301,294,ADL Enviro400 MMC
YY15OYT,stagecoach-london,10302,498,ADL Enviro400 MMC
YY15OYU,stagecoach-london,10303,294,ADL Enviro400 MMC
YY15OYV,stagecoach-london,10304,128,ADL Enviro400 MMC
YY15OYW,stagecoach-london,10305,498,ADL Enviro400 MMC
YY15OYX,stagecoach-london,10306,294,ADL Enviro400 MMC
YY15OYZ,stagecoach-london,10307,294,ADL Enviro400 MMC
SN16OJM,stagecoach-london,10308,179,ADL Enviro400 MMC
SN16OJO,stagecoach-london,10309,62,ADL Enviro400 MMC
SN16OJP,stagecoach-london,10310,238,ADL Enviro400 MMC
SN16OJR,stagecoach-london,10311,179,ADL Enviro400 MMC
SN16OJS,stagecoach-london,10312,179,ADL Enviro400 MMC
SN16OJT,stagecoach-london,10313,62,ADL Enviro400 MMC
SN16OJU,stagecoach-london,10314,62,ADL Enviro400 MMC
SN16OJV,stagecoach-london,10315,238,ADL Enviro400 MMC
SN16OJW,stagecoach-london,10316,238,ADL Enviro400 MMC
SN16OJX,stagecoach-london,10317,179,ADL Enviro400 MMC
SN16OJY,stagecoach-london,10318,62,ADL Enviro400 MMC
SN16OJZ,stagecoach-london,10319,62,ADL Enviro400 MMC
SN16OKA,stagecoach-london,10320,62,ADL Enviro400 MMC
SN16OKB,stagecoach-london,10321,179,ADL Enviro400 MMC
SN16OKC,stagecoach-london,10322,62,ADL Enviro400 MMC
SN16OKD,stagecoach-london,10323,145,ADL Enviro400 MMC
SN16OKF,stagecoach-london,10324,62,ADL Enviro400 MMC
SN16OKG,stagecoach-london,10325,238,ADL Enviro400 MMC
SN16OKH,stagecoach-london,10326,62,ADL Enviro400 MMC
SN16OKJ,stagecoach-london,10327,62,ADL Enviro400 MMC
SN16OKK,stagecoach-london,10328,62,ADL Enviro400 MMC
SN16OKL,stagecoach-london,10329,238,ADL Enviro400 MMC
SN16OKM,stagecoach-london,10330,179,ADL Enviro400 MMC
SN16OKO,stagecoach-london,10331,238,ADL Enviro400 MMC
SN16OKP,stagecoach-london,10332,62,ADL Enviro400 MMC
SN16OKR,stagecoach-london,10333,294,ADL Enviro400 MMC
SN16OKS,stagecoach-london,10334,498,ADL Enviro400 MMC
SN16OKT,stagecoach-london,10335,294,ADL Enviro400 MMC
SN16OKU,stagecoach-london,10336,128,ADL Enviro400 MMC
SN16OKV,stagecoach-london,10337,498,ADL Enviro400 MMC
SN16OKW,stagecoach-london,10338,294,ADL Enviro400 MMC
SN16OKX,stagecoach-london,10339,294,ADL Enviro400 MMC
SN16OKZ,stagecoach-london,10340,294,ADL Enviro400 MMC
SN16OLB,stagecoach-london,10341,498,ADL Enviro400 MMC
SN16OLC,stagecoach-london,10342,294,ADL Enviro400 MMC
SN16OLG,stagecoach-london,10343,498,ADL Enviro400 MMC
SN16OLH,stagecoach-london,10344,294,ADL Enviro400 MMC
SN16OLJ,stagecoach-london,10345,498,ADL Enviro400 MMC
SN16OLK,stagecoach-london,10346,365,ADL Enviro400 MMC
SN16OLO,stagecoach-london,10347,372,ADL Enviro400 MMC
YX66WCU,stagecoach-london,10348,238,ADL Enviro400 MMC
YX66WCT,stagecoach-london,10349,62,ADL Enviro400 MMC
YX66WCR,stagecoach-london,10350,179,ADL Enviro400 MMC
YY18TKZ,stagecoach-london,11001,136,ADL Enviro400 MMC
YY18TLF,stagecoach-london,11002,54,ADL Enviro400 MMC
YY18TLJ,stagecoach-london,11003,75,ADL Enviro400 MMC
YY18TLK,stagecoach-london,11004,136,ADL Enviro400 MMC
YY18TLN,stagecoach-london,11005,136,ADL Enviro400 MMC
YY18TLU,stagecoach-london,11006,47,ADL Enviro400 MMC
YY18TLV,stagecoach-london,11007,54,ADL Enviro400 MMC
YY18TLX,stagecoach-london,11008,54,ADL Enviro400 MMC
YY18TLZ,stagecoach-london,11009,75,ADL Enviro400 MMC
YY18TMO,stagecoach-london,11010,75,ADL Enviro400 MMC
YY18TMU,stagecoach-london,11011,136,ADL Enviro400 MMC
YY18TMV,stagecoach-london,11012,54,ADL Enviro400 MMC
YY18TMX,stagecoach-london,11013,75,ADL Enviro400 MMC
YY18TMZ,stagecoach-london,11014,136,ADL Enviro400 MMC
YY18TNE,stagecoach-london,11015,47,ADL Enviro400 MMC
YY18TNF,stagecoach-london,11016,54,ADL Enviro400 MMC
YX68UKA,stagecoach-london,11017,53,ADL Enviro400 MMC
YX68UKB,stagecoach-london,11018,122,ADL Enviro400 MMC
YX68UKD,stagecoach-london,11019,53,ADL Enviro400 MMC
YX68UKE,stagecoach-london,11020,180,ADL Enviro400 MMC
YX68UKF,stagecoach-london,11021,53,ADL Enviro400 MMC
YX68UKG,stagecoach-london,11022,53,ADL Enviro400 MMC
YX68UKH,stagecoach-london,11023,161,ADL Enviro400 MMC
YX68UKJ,stagecoach-london,11024,53,ADL Enviro400 MMC
YX68UKK,stagecoach-london,11025,122,ADL Enviro400 MMC
YX68UKL,stagecoach-london,11026,180,ADL Enviro400 MMC
YX68UKM,stagecoach-london,11027,53,ADL Enviro400 MMC
YX68UKN,stagecoach-london,11028,177,ADL Enviro400 MMC
YX68UKO,stagecoach-london,11029,53,ADL Enviro400 MMC
YX68UKP,stagecoach-london,11030,180,ADL Enviro400 MMC
YX68UKR,stagecoach-london,11031,422,ADL Enviro400 MMC
YX68UKS,stagecoach-london,11032,180,ADL Enviro400 MMC
SN18KTX,stagecoach-london,11033,388,ADL Enviro400 MMC
SN18KUA,stagecoach-london,11034,388,ADL Enviro400 MMC
SN18KUB,stagecoach-london,11035,53,ADL Enviro400 MMC
SN18KUC,stagecoach-london,11036,388,ADL Enviro400 MMC
SN18KUD,stagecoach-london,11037,53,ADL Enviro400 MMC
SN18KUE,stagecoach-london,11038,205,ADL Enviro400 MMC
SN18KUF,stagecoach-london,11039,53,ADL Enviro400 MMC
SN18KUG,stagecoach-london,11040,241,ADL Enviro400 MMC
SN18KUH,stagecoach-london,11041,241,ADL Enviro400 MMC
SN18KUJ,stagecoach-london,11042,241,ADL Enviro400 MMC
SN18KUK,stagecoach-london,11043,241,ADL Enviro400 MMC
YY18TGF,stagecoach-london,11044,241,ADL Enviro400 MMC
YY18TGJ,stagecoach-london,11045,241,ADL Enviro400 MMC
YY18TGK,stagecoach-london,11046,241,ADL Enviro400 MMC
YY18TGN,stagecoach-london,11047,241,ADL Enviro400 MMC
YY18TGO,stagecoach-london,11048,241,ADL Enviro400 MMC
YY18TGU,stagecoach-london,11049,241,ADL Enviro400 MMC
YY18TGV,stagecoach-london,11050,241,ADL Enviro400 MMC
YY18TGX,stagecoach-london,11051,241,ADL Enviro400 MMC
YY18TGZ,stagecoach-london,11052,241,ADL Enviro400 MMC
YY18THF,stagecoach-london,11053,241,ADL Enviro400 MMC
YY18THG,stagecoach-london,11054,241,ADL Enviro400 MMC
YX68UMU,stagecoach-london,11055,75,ADL Enviro400 MMC
YX68UMV,stagecoach-london,11056,136,ADL Enviro400 MMC
YX68UMW,stagecoach-london,11057,54,ADL Enviro400 MMC
YX68UMY,stagecoach-london,11058,136,ADL Enviro400 MMC
YX68UMZ,stagecoach-london,11059,54,ADL Enviro400 MMC
YX68UNB,stagecoach-london,11060,136,ADL Enviro400 MMC
YX68UNE,stagecoach-london,11061,54,ADL Enviro400 MMC
YX68UNF,stagecoach-london,11062,136,ADL Enviro400 MMC
YX68UNG,stagecoach-london,11063,136,ADL Enviro400 MMC
YX68UTG,stagecoach-london,11064,261,ADL Enviro400 MMC
YX68UTH,stagecoach-london,11065,61,ADL Enviro400 MMC
YX68UTJ,stagecoach-london,11066,261,ADL Enviro400 MMC
YX68UTK,stagecoach-london,11067,314,ADL Enviro400 MMC
YX68UTL,stagecoach-london,11068,261,ADL Enviro400 MMC
YX68UTM,stagecoach-london,11069,61,ADL Enviro400 MMC
YX68UTN,stagecoach-london,11070,261,ADL Enviro400 MMC
YX68UTO,stagecoach-london,11071,638,ADL Enviro400 MMC
YX68UTP,stagecoach-london,11072,261,ADL Enviro400 MMC
YX68UTR,stagecoach-london,11073,261,ADL Enviro400 MMC
YX68UTT,stagecoach-london,11074,261,ADL Enviro400 MMC
YX19OMA,stagecoach-london,11075,136,ADL Enviro400 MMC
YX19OMC,stagecoach-london,11076,425,ADL Enviro400 MMC
YX19OMD,stagecoach-london,11077,136,ADL Enviro400 MMC
YX19OME,stagecoach-london,11078,54,ADL Enviro400 MMC
YX19OMF,stagecoach-london,11079,205,ADL Enviro400 MMC
YX19OMG,stagecoach-london,11080,54,ADL Enviro400 MMC
YX19OMH,stagecoach-london,11081,136,ADL Enviro400 MMC
SO68HDJ,stagecoach-london,11301,54,ADL Enviro400 MMC
SO68HDK,stagecoach-london,11302,75,ADL Enviro400 MMC
SO68HDL,stagecoach-london,11303,54,ADL Enviro400 MMC
SO68HDN,stagecoach-london,11304,47,ADL Enviro400 MMC
SO68HDU,stagecoach-london,11305,136,ADL Enviro400 MMC
SO68HDV,stagecoach-london,11306,54,ADL Enviro400 MMC
SO68HDX,stagecoach-london,11307,54,ADL Enviro400 MMC
SO68HDY,stagecoach-london,11308,75,ADL Enviro400 MMC
SK19EKX,stagecoach-london,11309,54,ADL Enviro400 MMC
SK19EKY,stagecoach-london,11310,661,ADL Enviro400 MMC
SK19EKZ,stagecoach-london,11311,136,ADL Enviro400 MMC
SK19ELC,stagecoach-london,11312,54,ADL Enviro400 MMC
SK19ELH,stagecoach-london,11313,75,ADL Enviro400 MMC
SK19ELJ,stagecoach-london,11314,75,ADL Enviro400 MMC
SK19ELO,stagecoach-london,11315,136,ADL Enviro400 MMC
SK19ELU,stagecoach-london,11316,75,ADL Enviro400 MMC
YW68PCV,stagecoach-london,11317,136,ADL Enviro400 MMC
YW68PCU,stagecoach-london,11318,136,ADL Enviro400 MMC
YW68PCO,stagecoach-london,11319,199,ADL Enviro400 MMC
YW68PCF,stagecoach-london,11320,75,ADL Enviro400 MMC
YW68PBZ,stagecoach-london,11321,136,ADL Enviro400 MMC
YW68OZL,stagecoach-london,11322,75,ADL Enviro400 MMC
YW68OZM,stagecoach-london,11323,136,ADL Enviro400 MMC
YW68OZN,stagecoach-london,11324,75,ADL Enviro400 MMC
YW68OZO,stagecoach-london,11325,54,ADL Enviro400 MMC
YW68OZP,stagecoach-london,11326,47,ADL Enviro400 MMC
YW68OZR,stagecoach-london,11327,136,ADL Enviro400 MMC
YW68OZS,stagecoach-london,11328,75,ADL Enviro400 MMC
YW68OZT,stagecoach-london,11329,47,ADL Enviro400 MMC
YW68OZU,stagecoach-london,11330,54,ADL Enviro400 MMC
YW68OZV,stagecoach-london,11331,75,ADL Enviro400 MMC
YW68OZX,stagecoach-london,11332,136,ADL Enviro400 MMC
YW68PAO,stagecoach-london,11333,54,ADL Enviro400 MMC
YW68PBF,stagecoach-london,11334,75,ADL Enviro400 MMC
YW68PBO,stagecoach-london,11335,75,ADL Enviro400 MMC
SK20AXT,stagecoach-london,11341,122,ADL Enviro400 MMC
SK20AXU,stagecoach-london,11342,8,ADL Enviro400 MMC
SK20AXV,stagecoach-london,11343,25,ADL Enviro400 MMC
SK20AXW,stagecoach-london,11344,25,ADL Enviro400 MMC
SK20AXX,stagecoach-london,11345,425,ADL Enviro400 MMC
SK20AXY,stagecoach-london,11346,25,ADL Enviro400 MMC
SK20AXZ,stagecoach-london,11347,425,ADL Enviro400 MMC
SK20AYA,stagecoach-london,11348,25,ADL Enviro400 MMC
SK20AYB,stagecoach-london,11349,25,ADL Enviro400 MMC
SK20AYC,stagecoach-london,11350,25,ADL Enviro400 MMC
SK20AYD,stagecoach-london,11351,25,ADL Enviro400 MMC
SK20AYF,stagecoach-london,11352,425,ADL Enviro400 MMC
SK20AYG,stagecoach-london,11353,425,ADL Enviro400 MMC
SK20AYH,stagecoach-london,11354,25,ADL Enviro400 MMC
SK20AYJ,stagecoach-london,11355,425,ADL Enviro400 MMC
SK20AYL,stagecoach-london,11356,425,ADL Enviro400 MMC
SK20AYM,stagecoach-london,11357,425,ADL Enviro400 MMC
SK20AYN,stagecoach-london,11358,25,ADL Enviro400 MMC
SK20AYO,stagecoach-london,11359,425,ADL Enviro400 MMC
SK20AYP,stagecoach-london,11360,425,ADL Enviro400 MMC
SK20AYS,stagecoach-london,11361,425,ADL Enviro400 MMC
SK20AYT,stagecoach-london,11362,25,ADL Enviro400 MMC
SK20AYU,stagecoach-london,11363,25,ADL Enviro400 MMC
SK20AYV,stagecoach-london,11364,25,ADL Enviro400 MMC
SK20AYW,stagecoach-london,11365,425,ADL Enviro400 MMC
SK20AYX,stagecoach-london,11366,425,ADL Enviro400 MMC
SK20AYY,stagecoach-london,11367,425,ADL Enviro400 MMC
SK20AYZ,stagecoach-london,11368,425,ADL Enviro400 MMC
SK20AZA,stagecoach-london,11369,25,ADL Enviro400 MMC
SK20AZB,stagecoach-london,11370,25,ADL Enviro400 MMC
SK20AZC,stagecoach-london,11371,425,ADL Enviro400 MMC
SK20AZD,stagecoach-london,11372,25,ADL Enviro400 MMC
SK20AZF,stagecoach-london,11373,25,ADL Enviro400 MMC
SK20AZG,stagecoach-london,11374,425,ADL Enviro400 MMC
SK20AZJ,stagecoach-london,11375,8,ADL Enviro400 MMC
SK20BBE,stagecoach-london,11376,425,ADL Enviro400 MMC
SK20BBF,stagecoach-london,11377,25,ADL Enviro400 MMC
SK20BBJ,stagecoach-london,11378,425,ADL Enviro400 MMC
SK20BBN,stagecoach-london,11379,25,ADL Enviro400 MMC
SK20BBO,stagecoach-london,11380,25,ADL Enviro400 MMC
SK20BBU,stagecoach-london,11381,25,ADL Enviro400 MMC
SK20BBV,stagecoach-london,11382,25,ADL Enviro400 MMC
SK20BBX,stagecoach-london,11383,425,ADL Enviro400 MMC
SK20BBZ,stagecoach-london,11384,425,ADL Enviro400 MMC
SK20BCE,stagecoach-london,11385,25,ADL Enviro400 MMC
SK20BCF,stagecoach-london,11386,425,ADL Enviro400 MMC
SK20BCO,stagecoach-london,11387,8,ADL Enviro400 MMC
SK20BCU,stagecoach-london,11388,25,ADL Enviro400 MMC
SK20BCV,stagecoach-london,11389,425,ADL Enviro400 MMC
SK20BCX,stagecoach-london,11390,25,ADL Enviro400 MMC
SK20BCY,stagecoach-london,11391,25,ADL Enviro400 MMC
SK20BCZ,stagecoach-london,11392,25,ADL Enviro400 MMC
SK20BDE,stagecoach-london,11393,25,ADL Enviro400 MMC
SK20BDF,stagecoach-london,11394,425,ADL Enviro400 MMC
SK20BDO,stagecoach-london,11395,25,ADL Enviro400 MMC
SK20BDU,stagecoach-london,11396,25,ADL Enviro400 MMC
SK20BDV,stagecoach-london,11397,425,ADL Enviro400 MMC
SK20BDX,stagecoach-london,11398,25,ADL Enviro400 MMC
SK20BDY,stagecoach-london,11399,25,ADL Enviro400 MMC
LX61DFD,stagecoach-london,12128,257,ADL Enviro400H
LX61DFE,stagecoach-london,12129,56,ADL Enviro400H
LX61DFF,stagecoach-london,12130,56,ADL Enviro400H
LX61DFG,stagecoach-london,12131,56,ADL Enviro400H
LX61DFJ,stagecoach-london,12132,56,ADL Enviro400H
LX61DFK,stagecoach-london,12133,56,ADL Enviro400H
LX61DFL,stagecoach-london,12134,55,ADL Enviro400H
LX61DFN,stagecoach-london,12135,215,ADL Enviro400H
LX61DFO,stagecoach-london,12136,20,ADL Enviro400H
LX61DDL,stagecoach-london,12138,56,ADL Enviro400H
LX61DDN,stagecoach-london,12139,56,ADL Enviro400H
LX61DDU,stagecoach-london,12141,20,ADL Enviro400H
LX61DDZ,stagecoach-london,12144,56,ADL Enviro400H
LX61DEU,stagecoach-london,12145,20,ADL Enviro400H
LX61DFA,stagecoach-london,12146,20,ADL Enviro400H
LX61DFC,stagecoach-london,12147,56,ADL Enviro400H
LX61DCO,stagecoach-london,12148,56,ADL Enviro400H
LX61DCU,stagecoach-london,12149,20,ADL Enviro400H
LX61DDA,stagecoach-london,12153,56,ADL Enviro400H
SN14TVW,stagecoach-london,12261,122,ADL Enviro400H
SN14TVX,stagecoach-london,12262,122,ADL Enviro400H
SN14TVY,stagecoach-london,12263,161,ADL Enviro400H
SN14TVZ,stagecoach-london,12264,177,ADL Enviro400H
SN14TWA,stagecoach-london,12265,122,ADL Enviro400H
SN14TWC,stagecoach-london,12266,177,ADL Enviro400H
SN14TWD,stagecoach-london,12267,422,ADL Enviro400H
SN14TWE,stagecoach-london,12268,122,ADL Enviro400H
SN14TWF,stagecoach-london,12269,177,ADL Enviro400H
SN14TWG,stagecoach-london,12270,161,ADL Enviro400H
SN14TWJ,stagecoach-london,12271,53,ADL Enviro400H
SN14TWK,stagecoach-london,12272,53,ADL Enviro400H
SN14TWL,stagecoach-london,12273,161,ADL Enviro400H
SN14TWU,stagecoach-london,12276,53,ADL Enviro400H
SN14TWV,stagecoach-london,12277,53,ADL Enviro400H
SN14TWW,stagecoach-london,12278,53,ADL Enviro400H
SN14TWX,stagecoach-london,12279,122,ADL Enviro400H
SN14TWY,stagecoach-london,12280,177,ADL Enviro400H
SN14TWZ,stagecoach-london,12281,122,ADL Enviro400H
SN14TXF,stagecoach-london,12287,96,ADL Enviro400H
SN14TXG,stagecoach-london,12288,53,ADL Enviro400H
SN14TXJ,stagecoach-london,12290,53,ADL Enviro400H
SN14TXK,stagecoach-london,12291,53,ADL Enviro400H
SN14TXL,stagecoach-london,12292,53,ADL Enviro400H
SN14TXM,stagecoach-london,12293,472,ADL Enviro400H
SN14TXO,stagecoach-london,12294,97,ADL Enviro400H
SN14TXP,stagecoach-london,12295,602,ADL Enviro400H
SN14TXR,stagecoach-london,12296,96,ADL Enviro400H
SN14TXS,stagecoach-london,12297,96,ADL Enviro400H
SN14TXT,stagecoach-london,12298,96,ADL Enviro400H
SN14TXU,stagecoach-london,12299,53,ADL Enviro400H
SN14TXV,stagecoach-london,12300,161,ADL Enviro400H
SN14TXW,stagecoach-london,12301,205,ADL Enviro400H
SN14TXX,stagecoach-london,12302,161,ADL Enviro400H
SN14TXY,stagecoach-london,12303,161,ADL Enviro400H
SN14TXZ,stagecoach-london,12304,96,ADL Enviro400H
SN14TYA,stagecoach-london,12305,422,ADL Enviro400H
SN14TYB,stagecoach-london,12306,177,ADL Enviro400H
WLT307,stagecoach-london,12307,161,ADL Enviro400H
SN14TYD,stagecoach-london,12308,8,ADL Enviro400H
SN14TYF,stagecoach-london,12309,205,ADL Enviro400H
SN14TYG,stagecoach-london,12310,205,ADL Enviro400H
SN14TYH,stagecoach-london,12311,205,ADL Enviro400H
SN14TYK,stagecoach-london,12312,205,ADL Enviro400H
SN14TYO,stagecoach-london,12313,205,ADL Enviro400H
SN14TYP,stagecoach-london,12314,8,ADL Enviro400H
SN14TYS,stagecoach-london,12315,205,ADL Enviro400H
SN14TYT,stagecoach-london,12316,205,ADL Enviro400H
SN14TYU,stagecoach-london,12317,205,ADL Enviro400H
SN14TYV,stagecoach-london,12318,205,ADL Enviro400H
SK14CSX,stagecoach-london,12319,8,ADL Enviro400H
SK14CSY,stagecoach-london,12320,205,ADL Enviro400H
SK14CTE,stagecoach-london,12322,205,ADL Enviro400H
SL14LRO,stagecoach-london,12324,161,ADL Enviro400H
SL14LNP,stagecoach-london,12325,161,ADL Enviro400H
SL14LNR,stagecoach-london,12326,161,ADL Enviro400H
SL14LNT,stagecoach-london,12327,205,ADL Enviro400H
SL14LNU,stagecoach-london,12328,205,ADL Enviro400H
SL14LNV,stagecoach-london,12329,205,ADL Enviro400H
SL14LNW,stagecoach-london,12330,205,ADL Enviro400H
SL14LNX,stagecoach-london,12331,205,ADL Enviro400H
SL14LNY,stagecoach-london,12332,205,ADL Enviro400H
SL14LNZ,stagecoach-london,12333,205,ADL Enviro400H
SN64OGG,stagecoach-london,12334,205,ADL Enviro400H
SN64OGH,stagecoach-london,12335,56,ADL Enviro400H
SN64OGK,stagecoach-london,12337,650,ADL Enviro400H
SN64OGL,stagecoach-london,12338,96,ADL Enviro400H
SN64OGM,stagecoach-london,12339,161,ADL Enviro400H
SN64OGO,stagecoach-london,12340,422,ADL Enviro400H
SN64OGP,stagecoach-london,12341,56,ADL Enviro400H
SN64OGR,stagecoach-london,12342,53,ADL Enviro400H
SN64OGS,stagecoach-london,12343,N53,ADL Enviro400H
SN64OGT,stagecoach-london,12344,161,ADL Enviro400H
SN64OGU,stagecoach-london,12345,161,ADL Enviro400H
SN64OGW,stagecoach-london,12347,122,ADL Enviro400H
SN64OGX,stagecoach-london,12348,56,ADL Enviro400H
SN64OGY,stagecoach-london,12349,56,ADL Enviro400H
SN64OGZ,stagecoach-london,12350,20,ADL Enviro400H
SN64OHA,stagecoach-london,12351,56,ADL Enviro400H
SN64OHB,stagecoach-london,12352,56,ADL Enviro400H
SN64OHC,stagecoach-london,12353,215,ADL Enviro400H
SN64OHD,stagecoach-london,12354,20,ADL Enviro400H
SN64OHE,stagecoach-london,12355,55,ADL Enviro400H
SN64OHF,stagecoach-london,12356,56,ADL Enviro400H
SN64OHJ,stagecoach-london,12359,53,ADL Enviro400H
SN15LRJ,stagecoach-london,12364,53,ADL Enviro400H
YX16OGD,stagecoach-london,12365,177,ADL Enviro400H MMC
YX16OGE,stagecoach-london,12366,53,ADL Enviro400H MMC
YX16OGF,stagecoach-london,12367,161,ADL Enviro400H MMC
YX16OGG,stagecoach-london,12368,53,ADL Enviro400H MMC
YX16OGH,stagecoach-london,12369,177,ADL Enviro400H MMC
YX16OGJ,stagecoach-london,12370,161,ADL Enviro400H MMC
YX16OGK,stagecoach-london,12371,122,ADL Enviro400H MMC
YX16OGM,stagecoach-london,12373,177,ADL Enviro400H MMC
YX16OGN,stagecoach-london,12374,161,ADL Enviro400H MMC
YX16OGO,stagecoach-london,12375,422,ADL Enviro400H MMC
YX16OGP,stagecoach-london,12376,53,ADL Enviro400H MMC
YX16OGR,stagecoach-london,12377,53,ADL Enviro400H MMC
YX16OGS,stagecoach-london,12378,177,ADL Enviro400H MMC
YX16OGT,stagecoach-london,12379,53,ADL Enviro400H MMC
YX16OGU,stagecoach-london,12380,122,ADL Enviro400H MMC
YX16OGV,stagecoach-london,12381,161,ADL Enviro400H MMC
YX16OGW,stagecoach-london,12382,602,ADL Enviro400H MMC
YX16OGY,stagecoach-london,12383,53,ADL Enviro400H MMC
